Names,State,Invoice..USD..,Paid
"Powers, Kearcy",Indiana,100.78043492279424,No
"Currin, Tazah",Georgia,99.73305880868027,Yes
"Ashcroft-Bitsilly, John",Tennessee,113.2580366074214,No
"el-Nour, Mudrika",Rhode Island,85.13210475534811,Yes
"Aochi, Nicole",Connecticut,42.92094831755422,No
"Shakespeare, Antonio",Florida,76.67784711723347,No
"el-Abdallah, Siddeeqa",Wyoming,108.02100569941709,Yes
"Maclellan, Tyler",Iowa,129.16135287117254,Yes
"Smith, Sainyane",Nevada,87.99235583403275,Yes
"Halliburton, Jeffrey",Alaska,128.24036397793463,Yes
"el-Rahimi, Ya'qoob",New Hampshire,136.25682773828188,No
"Anderson, Lydia",Oklahoma,93.10341742783335,Yes
"Moreno, Ian",Oregon,91.72688785733558,No
"el-Farooqui, Badr",Minnesota,84.54493667234296,No
"Johnson, Konner",Missouri,107.16213199507804,No
"Lam, Jullienne Noelle",Louisiana,58.9247732960807,Yes
"Yong, Roman",Delaware,132.93775692451257,No
"el-Ghazi, Maahir",West Virginia,113.19876399114972,Yes
"Dutchie, Jeremy",Arkansas,84.78726430569284,No
"Rincon, Austin",Wisconsin,115.98384706771076,No
"Wyatt, Patrick",Georgia,119.80000527336458,Yes
"Lloyd, Devon",Louisiana,105.10063294089059,No
"Proper, Madhav",Colorado,124.01951042593356,Yes
"Hunt, Sarah",Delaware,92.15705324631824,Yes
"Chavez, Shureetha",Alabama,71.10651577609698,Yes
"Johnson, Robert",Massachusetts,102.29590434514802,Yes
"James, Kree",Kentucky,104.23412775176321,No
"Takata, Cheyenne",Ohio,133.88161805643654,Yes
"Ulibarri, Ingrid",Georgia,102.76577940448918,No
"Yepez, Jason",Wyoming,113.40251035042886,No
"Salazar, Samantha",Alabama,127.77971873997242,Yes
"Rawlings, Derek",Alaska,110.23178522102268,Yes
"Stewart, Elizabeth",Wisconsin,85.06537943249235,No
"al-Pirani, Rajab",Maryland,105.24724731159824,Yes
"Huynh, Rachel",Wisconsin,158.2356820888465,No
"al-Farman, Shaahira",Nebraska,102.24416201147318,No
"el-Rasul, Ameer",Illinois,51.81792843002363,Yes
"Woods, John",Massachusetts,69.24605952593676,Yes
"Campilan, Isabelle",Nebraska,111.46193263403262,Yes
"Tran, Tony",Massachusetts,77.49141835043469,Yes
"Taylor, Courtney",North Dakota,91.2311752205953,No
"Navakuku, Ryan",Utah,138.4598200704968,No
"Smieja, Corina",Arkansas,84.60594490656526,No
"Lawton, Malakye",Massachusetts,124.18052438720797,Yes
"Mindt, Robert",New Hampshire,113.83997100639623,Yes
"Cruz, Oyuki",Maine,84.7780456048819,Yes
"Hoffmann, Kosuke",South Dakota,99.3038667138783,No
"Etsitty, Kenneth",Montana,117.17170501747017,No
"Vasquez, Nykia",New York,125.09571700170501,Yes
"Khaton, Jamaica",Utah,103.0558774382111,Yes
"Kuhl, Jacob",Florida,121.2804984019333,Yes
"Soto, Vanessa",Maine,148.48312007481866,No
"Campbell, Anay",Michigan,91.18115066207568,No
"Tacuba, Armando",Arizona,55.14753367631748,No
"Damm, Bradley",Georgia,107.57453974636816,Yes
"Jenkins, Britani",Pennsylvania,98.10288642210591,Yes
"Webb, Jamie",Illinois,73.94509490546886,No
"Cobb, Jessica",Alaska,86.90252019252416,No
"Williams, Katherine",Colorado,106.90256897993112,Yes
"el-Yassin, Sameera",Indiana,75.14773768965244,Yes
"Green, Alyssa",South Carolina,101.74552873272512,No
"Miranda, Dennis",California,86.03151517863579,Yes
"Baca, Diego",New Hampshire,89.8886580850906,No
"Lewis, Justin",Rhode Island,92.34087969940724,No
"Chang, Jonathan",Mississippi,97.16675518041257,Yes
"el-Taha, Humaid",Delaware,99.30254542016792,Yes
"Green, Alyssa",South Carolina,78.37859692758119,No
"Cruze, Donovan",Alabama,112.90709190452512,No
"Herbert, Myriem",Pennsylvania,82.8156217344436,Yes
"Kipp, Colin",Nebraska,107.08821258406353,No
"Erman, Batula",Rhode Island,119.49068693392078,Yes
"Gonzalez, Jarid",Minnesota,135.23148554958325,Yes
"Posey, William",Minnesota,108.74787845891474,No
"Johnson, Kenniese",Maryland,85.08410604887302,No
"Hunt, Heather",New Hampshire,90.09823845549391,Yes
"Porter, Tatyanna",Kansas,86.4963184508901,Yes
"Garcia, Carmen",Kansas,102.62802017032212,No
"Rowe, Angelica",California,97.36472031679791,Yes
"Gabrielse, Cody",Arizona,95.21674372134478,Yes
"Busterna, Shaughnessy",Utah,114.35015677686599,No
"Thompson, Huriel",Arizona,60.72576941858104,Yes
"Richardson, Chakara",Indiana,74.6719301115241,Yes
"al-Kazemi, Ghaaliya",Wyoming,99.60999442071817,No
"Ruybal, Andrew",Delaware,140.5728180979679,No
"Miller, Hannah",Tennessee,127.60745278308127,No
"Lloyd, Devon",Louisiana,104.42972587136548,No
"al-Anwar, Sabeeka",Virginia,113.61956350323399,No
"Chhay, Julia",Hawaii,69.74998104260008,No
"Maes, Daniel",Oklahoma,122.70986250934932,No
"Alvarez, Daniel",Oregon,74.42317057353108,No
"Kane, Vanika",Oregon,61.654596278703224,No
"Cortez Sangster, William",North Carolina,85.90583480915399,Yes
"Curry, Kourtney",Delaware,98.37273176447766,Yes
"Nibbelink, Calen",Missouri,58.34220811207888,No
"Baca, Jeffrey",Nebraska,74.21755589200501,No
"Cordova, Monica",New Hampshire,83.26490453822,Yes
"al-Jaffer, Sabaaha",Arkansas,68.96958969081075,Yes
"al-Pirani, Rajab",Maryland,85.2609416268698,Yes
"Davis Jr, Keona",Connecticut,109.05961359480622,No
"el-Maroun, Badri",Louisiana,82.5700484219339,Yes
"Ramirez-Quevado, Sequiyia",New Mexico,115.45111054587396,No
"al-Jaffer, Sabaaha",Arkansas,76.99491640881062,No
"Anyanwu, Chante",Florida,86.98029251814437,No
"Bhartiya, Elizabeth",North Carolina,74.3673882868778,No
"Jeffery, Katlyn",Wisconsin,78.10378290355126,No
"Chouaf, Aleyha",Florida,86.64675770598448,Yes
"Jones, Adrian",Missouri,99.49004263879763,Yes
"Hase, Josiah",South Carolina,71.080096628044,Yes
"Strait, Phydell",Texas,124.96274333455514,No
"el-Raad, Mawdood",Delaware,108.17150011323913,No
"Johnson, Jagger",Missouri,93.1338691269585,Yes
"Bhartiya, Elizabeth",North Carolina,111.09622681479499,Yes
"Maes, Daniel",Oklahoma,121.09252994911628,Yes
"Miller, Shaquille",Washington,97.76237163187712,Yes
"Yu, Nicholas",West Virginia,75.71346055964258,Yes
"el-Rasheed, Mazeeda",Nevada,97.3140843348324,Yes
"Lopez, Loreal",South Dakota,94.37781851112972,Yes
"Thompson, Alizi",New Hampshire,94.71405266033152,No
"Roman, Daniel",North Dakota,128.01267575107315,No
"Garcia, Angelica",Mississippi,107.41662001466305,Yes
"Arzate, Erica",Minnesota,68.10933186393433,Yes
"Lawson, Morgan",Wyoming,132.47098202638085,Yes
"Childs, Julia",Kansas,91.58906202885011,No
"al-Azam,  Muzna",Ohio,117.86174225884758,No
"Tatum, Redanos",Oklahoma,118.06597887752211,Yes
"Davis, Sydney",Hawaii,135.45642986787752,Yes
"Molina, Mario",South Carolina,96.41765608304159,Yes
"Freed, Destiny",Maine,112.63760714346827,No
"el-Malak, Talha",Montana,125.85267928308596,Yes
"Teawdatwan, Sidharth",Nevada,134.91042780045262,No
"Rith, Stephen",Ohio,81.81635112973505,Yes
"Schafer, Andrea",Maryland,100.50644041409275,Yes
"Kim, Pao",Louisiana,116.50079606473224,Yes
"Nagai, Tiffany",Utah,102.02254457953711,No
"Taylor, Abigail",Nevada,102.92987657151639,No
"Marungo, Matthew",Virginia,96.80363216858608,No
"Braun, Justin",Arkansas,102.80266434335068,Yes
"Lazo, Alex",Alabama,87.30314108488727,Yes
"Vandyke, Jelicha",Kansas,103.47664263536336,No
"el-Firman, Shihaab",Oklahoma,113.07397616587772,Yes
"Medina, Alexia",Oklahoma,103.78686190522248,Yes
"Wahl, Mckendra",West Virginia,113.55806798992647,No
"Davis, Cristina",Connecticut,77.28938944800636,Yes
"Barron, Mayra",Florida,90.43568939366756,Yes
"Mathews, Demetrius",Kansas,80.7174366473226,No
"Dorado, Michael",Wisconsin,125.57681265840073,No
"Zubia, Savannah",Oklahoma,75.22190165765966,Yes
"Lial, Ruben",Nevada,126.29971098914174,Yes
"Dorsey, Sierra",Georgia,82.12210225393679,Yes
