Names,State,Invoice..USD..,Paid
"Morgan, Khashkhuu",Maine,48.1706401294868,No
"James, Eric",Hawaii,101.31166843861828,No
"Dudley, Terrence",Maine,107.11623892371844,Yes
"Pona, Brandon",Arkansas,88.4747949774325,Yes
"Yager, Chelsea",Ohio,76.80223216991136,No
"Burt, Angel",North Carolina,97.56455986306712,Yes
"Larson, Mara",West Virginia,101.07476657414085,Yes
"Vigil, Thomas",Pennsylvania,104.47778253905282,Yes
"al-Kalil, Rihaab",Colorado,97.66290251513335,No
"Brubaker, Mitchell",Mississippi,96.20435305556082,Yes
"Barringer, Kelsey",Minnesota,102.20810002496617,No
"Andrade, Rhandi",New Hampshire,89.43641540792777,Yes
"Diaz, Bianca",Louisiana,91.4566409805281,Yes
"Matt, Ayzia",Virginia,104.94984799319954,No
"el-Hamady, Rafeeda",Hawaii,96.39771891651118,Yes
"Green, James",Rhode Island,105.3220952059756,No
"Moore, Emma",Arizona,100.97890197018899,No
"Dudley, Terrence",Maine,108.32145400315066,No
"Mello, Andrea",Vermont,89.78997615829262,Yes
"Querubin, Pachia",Texas,66.12628155184277,No
"Morquecho, Gabriel",Arizona,138.07811535364755,Yes
"Sena, Jaime",Illinois,83.7240368625541,Yes
"Kyle, Juan",New York,76.16186916792977,Yes
"Green, Emily",Massachusetts,115.618359936357,Yes
"Chen, Halat",Alaska,62.86614864458748,No
"Davis, Ashlee",Tennessee,98.74690205677686,Yes
"Bernard, Oscar",Ohio,116.04369345668111,Yes
"el-Azer, Labeeba",West Virginia,100.07938443119511,Yes
"Green, Alyssa",South Carolina,132.82090944629195,No
"el-Kamara,  Mahdi",Tennessee,85.23658931133534,No
"Richardson, Chakara",Indiana,109.52801934183435,Yes
"Torres, Laura",Kansas,87.70784735722164,Yes
"Cano Jaimes, Hunter",Alabama,116.22837034496405,No
"Riddle, Joshua",Hawaii,97.36196868995333,Yes
"Sands, Arlene",Wisconsin,124.86100100853542,Yes
"Apodaca, Autriana",Wyoming,100.62787236819018,No
"Crowe, Anthony",Nebraska,84.0611720970802,No
"Thompson, Alizi",New Hampshire,109.48959380267203,Yes
"Herrera, David",Nebraska,30.72942133230717,No
"Cereceres, Shamika",Wisconsin,110.81462358216369,Yes
